Problems;PSO;IPSO;RDE;TDE;GA;PGA
BF1;50398;11478;7943;5535;10578;10501
BF2;50397;11292;8472;5539;10568;10510
BRANIN;44800;10849;5513;5514;46793;10838
CAMEL;48242;11051;5555;5514;26537;11087
CIGAR10;50581;12331;5586;100573;10502;10566
CM4;48559;11767;5550;5538;10614;10548
DISCUS10;50523;14328;18187;100518;10548;10503
EASOM;21786;10938;29256;24691;100762;10797
ELP10;49837;4323;11933;100584;10601;10559
EXP4;48523;11041;46752;19467;16621;10503
EXP16;50518;10973;5537;69494;10680;10595
GKLS250;43925;10869;41016;11430;50804;10893
GKLS350;48202;10750;56220;16831;40707;11555
GRIEWANK2;44021;13514;5538;5533;10555;10498
GRIEWANK10;50557;12258;5612;85742;10679;10576
POTENTIAL3;49213;12124;5530;5523;39607;11039
PONTENTIAL5;50548;16027;5587;5569;33542;11134
PONTENTIAL6;50558;24414;5607;5588;28901;11143
PONTENTIAL10;50641;31434;5670;5661;42644;11290
HANSEN;47296;13131;5522;5521;46894;11055
HARTMAN3;47778;10961;5525;5522;22235;11097
HARTMAN6;50088;11085;5536;5536;18352;11273
RASTRIGIN;47433;11594;5542;5524;16567;10506
ROSENBROCK8;50549;13487;72088;100503;10863;10645
POSENBROCK16;50584;12659;21517;10645;10918;10957
SHEKEL5;49944;13058;5532;5524;32319;10883
SHEKEL7;50062;12134;5533;5523;51183;10926
SHEKEL10;50124;14176;5535;5523;47337;11207
SINU4;49239;11349;5527;5510;66625;11063
SINU8;50224;11295;5537;5520;29705;11378
TEST2N4;50112;13173;5529;5519;25553;11049
TEST2N9;50517;17510;5546;5535;18154;11145
TEST30N3;44301;19638;5515;5511;49235;11051
TEST30N4;49177;20839;5514;5511;29667;11301
TOTAL;1639257;457850;446562;767771;997850;370671
